"Região Habilitação Atual","UF Habilitação Atual","Sexo","Faixa Etária","Categoria","Qt. Condutor Histórico"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","A-Condutor Moto","114"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AB-Condutor Moto/Carro","10.239"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AC-Condutor Moto/Caminhão","13"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AD-Condutor Moto/Ônibus","36"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","B-Condutor Carro","17.231"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","C-Condutor Caminhão","6"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","D-Condutor Ônibus","12"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","A-Condutor Moto","446"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AB-Condutor Moto/Carro","23.221"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AC-Condutor Moto/Caminhão","17"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AD-Condutor Moto/Ônibus","1.035"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AE-Condutor Moto/Carreta","90"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","B-Condutor Carro","30.017"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","C-Condutor Caminhão","8"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","D-Condutor Ônibus","374"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","E-Condutor Carreta","31"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","A-Condutor Moto","816"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AB-Condutor Moto/Carro","38.985"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AC-Condutor Moto/Caminhão","33"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AD-Condutor Moto/Ônibus","3.674"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AE-Condutor Moto/Carreta","523"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","B-Condutor Carro","50.011"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","C-Condutor Caminhão","20"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","D-Condutor Ônibus","1.289"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","E-Condutor Carreta","118"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","A-Condutor Moto","2.158"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AB-Condutor Moto/Carro","91.497"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AC-Condutor Moto/Caminhão","126"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AD-Condutor Moto/Ônibus","18.286"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AE-Condutor Moto/Carreta","3.596"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","B-Condutor Carro","106.961"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","C-Condutor Caminhão","66"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","D-Condutor Ônibus","7.081"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","E-Condutor Carreta","816"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","XB-Condutor Ciclomotor/Carro","2"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","A-Condutor Moto","1.822"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AB-Condutor Moto/Carro","71.796"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AC-Condutor Moto/Caminhão","729"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AD-Condutor Moto/Ônibus","27.290"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AE-Condutor Moto/Carreta","6.266"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","B-Condutor Carro","118.373"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","C-Condutor Caminhão","637"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","D-Condutor Ônibus","18.713"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","E-Condutor Carreta","2.914"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XD-Condutor Ciclomotor/Ônibus","1"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","A-Condutor Moto","834"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AB-Condutor Moto/Carro","36.259"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AC-Condutor Moto/Caminhão","1.945"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AD-Condutor Moto/Ônibus","17.796"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AE-Condutor Moto/Carreta","3.351"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","B-Condutor Carro","88.547"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","C-Condutor Caminhão","1.799"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","D-Condutor Ônibus","20.160"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","E-Condutor Carreta","2.735"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","XB-Condutor Ciclomotor/Carro","4"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","A-Condutor Moto","297"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AB-Condutor Moto/Carro","17.971"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AC-Condutor Moto/Caminhão","1.185"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AD-Condutor Moto/Ônibus","7.326"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AE-Condutor Moto/Carreta","1.254"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","B-Condutor Carro","61.676"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","C-Condutor Caminhão","1.952"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","D-Condutor Ônibus","14.737"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","E-Condutor Carreta","1.885"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","A-Condutor Moto","58"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AB-Condutor Moto/Carro","5.504"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AC-Condutor Moto/Caminhão","175"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AD-Condutor Moto/Ônibus","1.505"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AE-Condutor Moto/Carreta","195"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","B-Condutor Carro","43.549"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","C-Condutor Caminhão","1.099"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","D-Condutor Ônibus","7.326"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","E-Condutor Carreta","707"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","XB-Condutor Ciclomotor/Carro","2"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","A-Condutor Moto","17"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AB-Condutor Moto/Carro","1.432"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AC-Condutor Moto/Caminhão","45"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AD-Condutor Moto/Ônibus","356"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AE-Condutor Moto/Carreta","13"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","B-Condutor Carro","22.475"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","C-Condutor Caminhão","542"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","D-Condutor Ônibus","3.651"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","E-Condutor Carreta","161"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","A-Condutor Moto","4"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AB-Condutor Moto/Carro","303"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AC-Condutor Moto/Caminhão","9"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AD-Condutor Moto/Ônibus","55"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","B-Condutor Carro","8.370"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","C-Condutor Caminhão","113"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","D-Condutor Ônibus","928"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","E-Condutor Carreta","19"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","AB-Condutor Moto/Carro","37"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","AD-Condutor Moto/Ônibus","3"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","B-Condutor Carro","1.599"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","C-Condutor Caminhão","6"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","D-Condutor Ônibus","66"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","A-Condutor Moto","32"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","AB-Condutor Moto/Carro","2.926"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","B-Condutor Carro","16.582"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","D-Condutor Ônibus","1"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","A-Condutor Moto","143"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AB-Condutor Moto/Carro","6.690"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AC-Condutor Moto/Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AD-Condutor Moto/Ônibus","25"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","B-Condutor Carro","33.019"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","D-Condutor Ônibus","13"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","A-Condutor Moto","355"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AB-Condutor Moto/Carro","11.489"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AD-Condutor Moto/Ônibus","82"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AE-Condutor Moto/Carreta","5"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","B-Condutor Carro","60.699"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","D-Condutor Ônibus","110"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","A-Condutor Moto","941"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AB-Condutor Moto/Carro","26.965"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AC-Condutor Moto/Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AD-Condutor Moto/Ônibus","598"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AE-Condutor Moto/Carreta","48"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","B-Condutor Carro","154.290"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","C-Condutor Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","D-Condutor Ônibus","793"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","E-Condutor Carreta","22"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","A-Condutor Moto","749"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AB-Condutor Moto/Carro","17.144"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AC-Condutor Moto/Caminhão","8"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AD-Condutor Moto/Ônibus","881"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AE-Condutor Moto/Carreta","80"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","B-Condutor Carro","169.970"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","C-Condutor Caminhão","6"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","D-Condutor Ônibus","1.599"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","E-Condutor Carreta","37"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","A-Condutor Moto","235"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AB-Condutor Moto/Carro","5.863"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AC-Condutor Moto/Caminhão","38"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AD-Condutor Moto/Ônibus","420"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AE-Condutor Moto/Carreta","37"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","B-Condutor Carro","109.796"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","C-Condutor Caminhão","79"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","D-Condutor Ônibus","1.337"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","E-Condutor Carreta","22"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","A-Condutor Moto","19"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AB-Condutor Moto/Carro","1.829"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AC-Condutor Moto/Caminhão","21"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AD-Condutor Moto/Ônibus","104"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AE-Condutor Moto/Carreta","9"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","B-Condutor Carro","66.890"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","C-Condutor Caminhão","62"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","D-Condutor Ônibus","495"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","E-Condutor Carreta","12"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","A-Condutor Moto","3"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AB-Condutor Moto/Carro","281"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AC-Condutor Moto/Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AD-Condutor Moto/Ônibus","8"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AE-Condutor Moto/Carreta","3"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","B-Condutor Carro","33.355"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","C-Condutor Caminhão","21"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","D-Condutor Ônibus","120"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","AB-Condutor Moto/Carro","27"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","AD-Condutor Moto/Ônibus","2"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","B-Condutor Carro","11.182"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","C-Condutor Caminhão","5"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","D-Condutor Ônibus","30"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","AB-Condutor Moto/Carro","6"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","B-Condutor Carro","2.545"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","C-Condutor Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","D-Condutor Ônibus","3"
"Centro-Oeste","Distrito Federal","Feminino","101 a 120","B-Condutor Carro","244"
"Centro-Oeste","Distrito Federal","Feminino","101 a 120","E-Condutor Carreta","1"
"Centro-Oeste","Goiás","Masculino","18 a 21","A-Condutor Moto","1.183"
"Centro-Oeste","Goiás","Masculino","18 a 21","AB-Condutor Moto/Carro","48.626"
"Centro-Oeste","Goiás","Masculino","18 a 21","AC-Condutor Moto/Caminhão","237"
"Centro-Oeste","Goiás","Masculino","18 a 21","AD-Condutor Moto/Ônibus","161"
"Centro-Oeste","Goiás","Masculino","18 a 21","AE-Condutor Moto/Carreta","23"
"Centro-Oeste","Goiás","Masculino","18 a 21","B-Condutor Carro","16.470"
"Centro-Oeste","Goiás","Masculino","18 a 21","C-Condutor Caminhão","38"
"Centro-Oeste","Goiás","Masculino","18 a 21","D-Condutor Ônibus","15"
"Centro-Oeste","Goiás","Masculino","18 a 21","E-Condutor Carreta","3"
"Centro-Oeste","Goiás","Masculino","22 a 25","A-Condutor Moto","3.255"
"Centro-Oeste","Goiás","Masculino","22 a 25","AB-Condutor Moto/Carro","91.447"
"Centro-Oeste","Goiás","Masculino","22 a 25","AC-Condutor Moto/Caminhão","453"
"Centro-Oeste","Goiás","Masculino","22 a 25","AD-Condutor Moto/Ônibus","3.984"
"Centro-Oeste","Goiás","Masculino","22 a 25","AE-Condutor Moto/Carreta","769"
"Centro-Oeste","Goiás","Masculino","22 a 25","B-Condutor Carro","27.906"
"Centro-Oeste","Goiás","Masculino","22 a 25","C-Condutor Caminhão","70"
"Centro-Oeste","Goiás","Masculino","22 a 25","D-Condutor Ônibus","332"
"Centro-Oeste","Goiás","Masculino","22 a 25","E-Condutor Carreta","68"
"Centro-Oeste","Goiás","Masculino","26 a 30","A-Condutor Moto","6.378"
"Centro-Oeste","Goiás","Masculino","26 a 30","AB-Condutor Moto/Carro","141.259"
"Centro-Oeste","Goiás","Masculino","26 a 30","AC-Condutor Moto/Caminhão","641"
"Centro-Oeste","Goiás","Masculino","26 a 30","AD-Condutor Moto/Ônibus","12.404"
"Centro-Oeste","Goiás","Masculino","26 a 30","AE-Condutor Moto/Carreta","3.477"
"Centro-Oeste","Goiás","Masculino","26 a 30","B-Condutor Carro","39.210"
"Centro-Oeste","Goiás","Masculino","26 a 30","C-Condutor Caminhão","88"
"Centro-Oeste","Goiás","Masculino","26 a 30","D-Condutor Ônibus","989"
"Centro-Oeste","Goiás","Masculino","26 a 30","E-Condutor Carreta","261"
"Centro-Oeste","Goiás","Masculino","31 a 40","A-Condutor Moto","17.636"
"Centro-Oeste","Goiás","Masculino","31 a 40","AB-Condutor Moto/Carro","274.375"
"Centro-Oeste","Goiás","Masculino","31 a 40","AC-Condutor Moto/Caminhão","2.529"
"Centro-Oeste","Goiás","Masculino","31 a 40","AD-Condutor Moto/Ônibus","52.679"
"Centro-Oeste","Goiás","Masculino","31 a 40","AE-Condutor Moto/Carreta","21.757"
"Centro-Oeste","Goiás","Masculino","31 a 40","B-Condutor Carro","72.479"
"Centro-Oeste","Goiás","Masculino","31 a 40","C-Condutor Caminhão","318"
"Centro-Oeste","Goiás","Masculino","31 a 40","D-Condutor Ônibus","4.763"
"Centro-Oeste","Goiás","Masculino","31 a 40","E-Condutor Carreta","1.662"
"Centro-Oeste","Goiás","Masculino","31 a 40","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Goiás","Masculino","41 a 50","A-Condutor Moto","15.168"
"Centro-Oeste","Goiás","Masculino","41 a 50","AB-Condutor Moto/Carro","204.970"
"Centro-Oeste","Goiás","Masculino","41 a 50","AC-Condutor Moto/Caminhão","6.194"
"Centro-Oeste","Goiás","Masculino","41 a 50","AD-Condutor Moto/Ônibus","59.910"
"Centro-Oeste","Goiás","Masculino","41 a 50","AE-Condutor Moto/Carreta","29.426"
"Centro-Oeste","Goiás","Masculino","41 a 50","B-Condutor Carro","83.260"
"Centro-Oeste","Goiás","Masculino","41 a 50","C-Condutor Caminhão","2.277"
"Centro-Oeste","Goiás","Masculino","41 a 50","D-Condutor Ônibus","12.887"
"Centro-Oeste","Goiás","Masculino","41 a 50","E-Condutor Carreta","6.833"
"Centro-Oeste","Goiás","Masculino","51 a 60","A-Condutor Moto","10.554"
"Centro-Oeste","Goiás","Masculino","51 a 60","AB-Condutor Moto/Carro","117.869"
"Centro-Oeste","Goiás","Masculino","51 a 60","AC-Condutor Moto/Caminhão","10.910"
"Centro-Oeste","Goiás","Masculino","51 a 60","AD-Condutor Moto/Ônibus","40.426"
"Centro-Oeste","Goiás","Masculino","51 a 60","AE-Condutor Moto/Carreta","16.118"
"Centro-Oeste","Goiás","Masculino","51 a 60","B-Condutor Carro","78.893"
"Centro-Oeste","Goiás","Masculino","51 a 60","C-Condutor Caminhão","5.914"
"Centro-Oeste","Goiás","Masculino","51 a 60","D-Condutor Ônibus","19.568"
"Centro-Oeste","Goiás","Masculino","51 a 60","E-Condutor Carreta","7.977"
"Centro-Oeste","Goiás","Masculino","51 a 60","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Goiás","Masculino","61 a 70","A-Condutor Moto","5.411"
"Centro-Oeste","Goiás","Masculino","61 a 70","AB-Condutor Moto/Carro","55.851"
"Centro-Oeste","Goiás","Masculino","61 a 70","AC-Condutor Moto/Caminhão","9.016"
"Centro-Oeste","Goiás","Masculino","61 a 70","AD-Condutor Moto/Ônibus","17.932"
"Centro-Oeste","Goiás","Masculino","61 a 70","AE-Condutor Moto/Carreta","6.266"
"Centro-Oeste","Goiás","Masculino","61 a 70","B-Condutor Carro","75.808"
"Centro-Oeste","Goiás","Masculino","61 a 70","C-Condutor Caminhão","11.598"
"Centro-Oeste","Goiás","Masculino","61 a 70","D-Condutor Ônibus","19.556"
"Centro-Oeste","Goiás","Masculino","61 a 70","E-Condutor Carreta","7.186"
"Centro-Oeste","Goiás","Masculino","71 a 80","A-Condutor Moto","1.897"
"Centro-Oeste","Goiás","Masculino","71 a 80","AB-Condutor Moto/Carro","20.622"
"Centro-Oeste","Goiás","Masculino","71 a 80","AC-Condutor Moto/Caminhão","2.188"
"Centro-Oeste","Goiás","Masculino","71 a 80","AD-Condutor Moto/Ônibus","3.988"
"Centro-Oeste","Goiás","Masculino","71 a 80","AE-Condutor Moto/Carreta","926"
"Centro-Oeste","Goiás","Masculino","71 a 80","B-Condutor Carro","60.114"
"Centro-Oeste","Goiás","Masculino","71 a 80","C-Condutor Caminhão","6.891"
"Centro-Oeste","Goiás","Masculino","71 a 80","D-Condutor Ônibus","9.960"
"Centro-Oeste","Goiás","Masculino","71 a 80","E-Condutor Carreta","2.371"
"Centro-Oeste","Goiás","Masculino","81 a 90","A-Condutor Moto","547"
"Centro-Oeste","Goiás","Masculino","81 a 90","AB-Condutor Moto/Carro","5.447"
"Centro-Oeste","Goiás","Masculino","81 a 90","AC-Condutor Moto/Caminhão","522"
"Centro-Oeste","Goiás","Masculino","81 a 90","AD-Condutor Moto/Ônibus","805"
"Centro-Oeste","Goiás","Masculino","81 a 90","AE-Condutor Moto/Carreta","54"
"Centro-Oeste","Goiás","Masculino","81 a 90","B-Condutor Carro","30.350"
"Centro-Oeste","Goiás","Masculino","81 a 90","C-Condutor Caminhão","3.305"
"Centro-Oeste","Goiás","Masculino","81 a 90","D-Condutor Ônibus","4.287"
"Centro-Oeste","Goiás","Masculino","81 a 90","E-Condutor Carreta","397"
"Centro-Oeste","Goiás","Masculino","91 a 100","A-Condutor Moto","75"
"Centro-Oeste","Goiás","Masculino","91 a 100","AB-Condutor Moto/Carro","907"
"Centro-Oeste","Goiás","Masculino","91 a 100","AC-Condutor Moto/Caminhão","41"
"Centro-Oeste","Goiás","Masculino","91 a 100","AD-Condutor Moto/Ônibus","93"
"Centro-Oeste","Goiás","Masculino","91 a 100","AE-Condutor Moto/Carreta","3"
"Centro-Oeste","Goiás","Masculino","91 a 100","B-Condutor Carro","11.292"
"Centro-Oeste","Goiás","Masculino","91 a 100","C-Condutor Caminhão","659"
"Centro-Oeste","Goiás","Masculino","91 a 100","D-Condutor Ônibus","938"
"Centro-Oeste","Goiás","Masculino","91 a 100","E-Condutor Carreta","50"
"Centro-Oeste","Goiás","Masculino","101 a 120","A-Condutor Moto","3"
"Centro-Oeste","Goiás","Masculino","101 a 120","AB-Condutor Moto/Carro","56"
"Centro-Oeste","Goiás","Masculino","101 a 120","AC-Condutor Moto/Caminhão","4"
"Centro-Oeste","Goiás","Masculino","101 a 120","AD-Condutor Moto/Ônibus","3"
"Centro-Oeste","Goiás","Masculino","101 a 120","B-Condutor Carro","1.990"
"Centro-Oeste","Goiás","Masculino","101 a 120","C-Condutor Caminhão","38"
"Centro-Oeste","Goiás","Masculino","101 a 120","D-Condutor Ônibus","51"
"Centro-Oeste","Goiás","Masculino","101 a 120","E-Condutor Carreta","3"
"Centro-Oeste","Goiás","Feminino","18 a 21","A-Condutor Moto","627"
"Centro-Oeste","Goiás","Feminino","18 a 21","AB-Condutor Moto/Carro","20.697"
"Centro-Oeste","Goiás","Feminino","18 a 21","AC-Condutor Moto/Caminhão","6"
"Centro-Oeste","Goiás","Feminino","18 a 21","AD-Condutor Moto/Ônibus","6"
"Centro-Oeste","Goiás","Feminino","18 a 21","B-Condutor Carro","19.466"
"Centro-Oeste","Goiás","Feminino","18 a 21","C-Condutor Caminhão","1"
"Centro-Oeste","Goiás","Feminino","18 a 21","D-Condutor Ônibus","1"
"Centro-Oeste","Goiás","Feminino","22 a 25","A-Condutor Moto","2.007"
"Centro-Oeste","Goiás","Feminino","22 a 25","AB-Condutor Moto/Carro","44.784"
"Centro-Oeste","Goiás","Feminino","22 a 25","AC-Condutor Moto/Caminhão","7"
"Centro-Oeste","Goiás","Feminino","22 a 25","AD-Condutor Moto/Ônibus","109"
"Centro-Oeste","Goiás","Feminino","22 a 25","AE-Condutor Moto/Carreta","11"
"Centro-Oeste","Goiás","Feminino","22 a 25","B-Condutor Carro","38.895"
"Centro-Oeste","Goiás","Feminino","22 a 25","C-Condutor Caminhão","3"
"Centro-Oeste","Goiás","Feminino","22 a 25","D-Condutor Ônibus","25"
"Centro-Oeste","Goiás","Feminino","26 a 30","A-Condutor Moto","4.357"
"Centro-Oeste","Goiás","Feminino","26 a 30","AB-Condutor Moto/Carro","78.455"
"Centro-Oeste","Goiás","Feminino","26 a 30","AC-Condutor Moto/Caminhão","13"
"Centro-Oeste","Goiás","Feminino","26 a 30","AD-Condutor Moto/Ônibus","574"
"Centro-Oeste","Goiás","Feminino","26 a 30","AE-Condutor Moto/Carreta","66"
"Centro-Oeste","Goiás","Feminino","26 a 30","B-Condutor Carro","61.595"
"Centro-Oeste","Goiás","Feminino","26 a 30","C-Condutor Caminhão","1"
"Centro-Oeste","Goiás","Feminino","26 a 30","D-Condutor Ônibus","83"
"Centro-Oeste","Goiás","Feminino","26 a 30","E-Condutor Carreta","4"
"Centro-Oeste","Goiás","Feminino","31 a 40","A-Condutor Moto","13.897"
"Centro-Oeste","Goiás","Feminino","31 a 40","AB-Condutor Moto/Carro","166.888"
"Centro-Oeste","Goiás","Feminino","31 a 40","AC-Condutor Moto/Caminhão","65"
"Centro-Oeste","Goiás","Feminino","31 a 40","AD-Condutor Moto/Ônibus","2.774"
"Centro-Oeste","Goiás","Feminino","31 a 40","AE-Condutor Moto/Carreta","410"
